Country,Location_name,Region,Latitude,Longitude,Avg_temp,total_rainfall,Avg_humidity,Crop,Season,Average_Yield
India,Ashoknagar,Madhya Pradesh,24.57,77.72,24.39941177,18.9,67,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,23.44941177,18.9,71,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.44941177,18.9,81,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.74941177,18.9,77,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,23.09941177,18.9,73,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,23.59941177,18.9,66,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,23.24941177,18.9,71,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,23.19941177,18.9,65,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.64941177,18.9,91,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.34941177,18.9,95,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.29941177,18.9,97,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.54941177,18.9,97,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.59941177,18.9,96,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.34941177,18.9,89,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.14941177,18.9,89,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,23.44941177,18.9,88,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.79941177,18.9,93,Wheat,Rabi       ,1050
India,Ashoknagar,Madhya Pradesh,24.57,77.72,22.54941177,18.9,96,Wheat,Rabi       ,1050
